id_usuario,produto,organico,nome_produtor,local,avaliacao,latitude,longitude
6a1a6cb2-4672-40e8-b774-b82910b57efc,Mandioca,0,Coopbrasil,Ceilândia,1,-15.8173391,-48.1045766
be7f15dd-e5a7-49e1-ad3a-f1306a24ee92,Coco,0,Prorural,Paranoá,3,-15.77544,-47.7797631
efd731af-89c0-4ff7-b4a8-e137f0ae6f13,Agrião,1,Aspaf,Núcleo Bandeirante,2,-15.8711851,-47.9679941
4e802481-8285-4f7f-b278-9966f51fd711,Pimentão,0,Asproc,Planaltina,3,-15.6181947,-47.6555703
df2d2d0b-c2bf-487d-b4d4-a0ea3918d824,Goiaba,0,Asphor,Gama,4,-16.0170857,-48.0653054
05cdc25e-7ebe-4f38-b746-168722d01f38,Goiaba,1,Aspaf,Núcleo Bandeirante,4,-15.8711851,-47.9679941
d8091ee9-92c1-461b-83f1-76e522e09fce,Mamão,0,Aspaf,Núcleo Bandeirante,2,-15.8711851,-47.9679941
f53e5878-709f-4091-91a7-5e5338cc5c12,Beterraba,0,Astraf,Guará,1,-15.8235629,-47.9768165
a88dcffd-fbb8-4d9e-9f09-4aa5ec7e1b31,Banana,0,Coopebraz,Recanto das Emas,1,-15.9025481,-48.0607778
eda8ec4c-79a2-4556-87bf-94c1e92039b0,Batata,0,Coopbrasil,Planaltina,4,-15.6181947,-47.6555703
2de173f5-b1cb-4ecf-a7d4-6a75d3c0240c,Morango,1,Asphor,Santa Maria,5,-16.0171229,-48.0131328
6a557f16-12fa-49c2-8608-45b1276cb90e,Limão,0,Asproc,Samambaia,5,-15.8769989,-48.0881004
07afedaa-c0e9-44e2-aa59-31ae8a736adb,Maracujá,1,Coopbrasil,Ceilândia,2,-15.8173391,-48.1045766
f50585b6-4983-4441-ba98-788cb9e7a0fa,Pepino,0,Astraf,Guará,5,-15.8235629,-47.9768165
35a790b0-d5ff-4bbb-8d9d-33ac8bde168c,Coco,1,Aspaf,Guará,2,-15.8235629,-47.9768165
e3946bd7-149f-4160-b400-497e6731b3e0,Tomate,1,Agrifam,Taguatinga,2,-15.8335277,-48.0565716
43c8bbfb-e827-4387-83d0-be480ef612f4,Maracujá,0,Coopbrasil,Recanto das Emas,3,-15.9025481,-48.0607778
db573d31-10ef-46c9-9e3a-40cfe8dbae76,Pimentão,0,Asproc,Recanto das Emas,2,-15.9025481,-48.0607778
11c5cc34-e5f2-4629-b334-e1d689ce3dc6,Mamão,1,Asphor,Gama,4,-16.0170857,-48.0653054
feefc7db-2b69-465d-a795-954765437d6d,Berinjela,1,Asproc,Recanto das Emas,3,-15.9025481,-48.0607778
8002f6bd-9871-4cef-8ba8-52f5f3757a8e,Banana,1,Asphor,Gama,3,-16.0170857,-48.0653054
