id_usuario,produto,organico,nome_produtor,local,avaliacao
6a1a6cb2-4672-40e8-b774-b82910b57efc,Mandioca,0,Coopbrasil,Ceilândia,1
be7f15dd-e5a7-49e1-ad3a-f1306a24ee92,Coco,0,Prorural,Paranoá,3
efd731af-89c0-4ff7-b4a8-e137f0ae6f13,Agrião,1,Aspaf,Núcleo Bandeirante,2
4e802481-8285-4f7f-b278-9966f51fd711,Pimentão,0,Asproc,Planaltina,3
df2d2d0b-c2bf-487d-b4d4-a0ea3918d824,Goiaba,0,Asphor,Gama,4
05cdc25e-7ebe-4f38-b746-168722d01f38,Goiaba,1,Aspaf,Núcleo Bandeirante,4
d8091ee9-92c1-461b-83f1-76e522e09fce,Mamão,0,Aspaf,Núcleo Bandeirante,2
f53e5878-709f-4091-91a7-5e5338cc5c12,Beterraba,0,Astraf,Guará,1
a88dcffd-fbb8-4d9e-9f09-4aa5ec7e1b31,Banana,0,Coopebraz,Recanto das Emas,1
eda8ec4c-79a2-4556-87bf-94c1e92039b0,Batata,0,Coopbrasil,Planaltina,4
2de173f5-b1cb-4ecf-a7d4-6a75d3c0240c,Morango,1,Asphor,Santa Maria,5
6a557f16-12fa-49c2-8608-45b1276cb90e,Limão,0,Asproc,Samambaia,5
07afedaa-c0e9-44e2-aa59-31ae8a736adb,Maracujá,1,Coopbrasil,Ceilândia,2
f50585b6-4983-4441-ba98-788cb9e7a0fa,Pepino,0,Astraf,Guará,5
35a790b0-d5ff-4bbb-8d9d-33ac8bde168c,Coco,1,Aspaf,Guará,2
e3946bd7-149f-4160-b400-497e6731b3e0,Tomate,1,Agrifam,Taguatinga,2
43c8bbfb-e827-4387-83d0-be480ef612f4,Maracujá,0,Coopbrasil,Recanto das Emas,3
db573d31-10ef-46c9-9e3a-40cfe8dbae76,Pimentão,0,Asproc,Recanto das Emas,2
11c5cc34-e5f2-4629-b334-e1d689ce3dc6,Mamão,1,Asphor,Gama,4
feefc7db-2b69-465d-a795-954765437d6d,Berinjela,1,Asproc,Recanto das Emas,3
8002f6bd-9871-4cef-8ba8-52f5f3757a8e,Banana,1,Asphor,Gama,3
7b2546d7-6054-4c3f-988b-8bf114139704,Abacate,1,Agrifam,Santa Maria,1
399e83f5-f3db-4633-a860-8af532357f2a,Tomate,0,Coopbrasil,Gama,5
0437a871-6379-44b0-8a19-5d9a934ea4db,Repolho,0,Asproc,Paranoá,1
6064d5b2-fbae-4690-baeb-5c83277060a5,Mamão,0,Coopebraz,Samambaia,4
56ce6fc8-c5fb-4664-82f4-ac368a47ec9e,Pitaia,0,Afeca,São Sebastião,5
a8293b1e-2563-4141-93ab-39b470480adc,Cajamanga,1,Cooper-Horti,Paranoá,3
29a6e36f-c4f0-49ae-8b5f-1f0a94641b3e,Abóbora,0,Cooperbrasília,São Sebastião,3
7d3557df-3edb-46a0-b820-cbbe58343361,Abacate,1,Aspaf,Guará,3
4d1b2315-9b8e-4e1b-9d77-3ee93e197294,Atemóia,0,Cooperbrasília,São Sebastião,4
5e24094c-bcdb-49ea-ac55-b8048c547cff,Jiló,0,Aspaf,Núcleo Bandeirante,4
f6565a0b-11a0-4667-b695-cc561ca3d4c5,Morango,0,Coopbrasil,Recanto das Emas,4
b039a672-fb3b-45ed-9d25-658f388b4634,Graviola,0,Coopebraz,Taguatinga,5
b5d89147-5d2a-4fbc-849a-86293dc0cda6,Quiabo,1,Coopebraz,Brazlândia,2
291207db-8f09-468d-ae8b-dc7b64a1da1e,Goiaba,0,Coopebraz,Samambaia,1
6ff3771a-9a43-481d-a244-64afd64b6497,Lichia,0,Coopbrasil,Planaltina,3
f6565a0b-11a0-4667-b695-cc561ca3d4c5,Chuchu,0,Coopebraz,Recanto das Emas,3
6385d0b3-9e0e-40bc-a8ee-14c63e606f07,Agrião,0,Cootaquara,Ceilândia,1
957fe6d7-a15c-4c9e-baeb-f865e98b21a3,Uva,0,Cooperbrasília,Sobradinho,2
5664abed-6df6-4864-9fc7-b7c65f6bf88b,Coco,1,Agrifam,Gama,4
a6122351-048f-4997-a34a-97716d142455,Gengibre,1,Asproc,Recanto das Emas,1
3aca182d-29bc-45e7-878b-8510dc7105e3,Pimentão,0,Prorural,Plano Piloto,3
a7cfa0e2-1714-41f4-8f85-4e8e191f8239,Couve,0,Cooper-mista,Planaltina,5
d29c3325-a279-4984-bc9c-df42435bc004,Berinjela,0,Aspronte,Ceilândia,5
c51db744-af49-4abc-876b-b3631e20038d,Maracujá,1,Coopebraz,Recanto das Emas,5
5eec6d69-980f-419e-9af2-9b8c7f74490c,Limão,0,Coopbrasil,Recanto das Emas,3
8529b46d-201a-48c9-a176-8ec46643de31,Atemóia,0,Coopbrasil,Brazlândia,1
da742914-03ec-4f89-a932-87c7e4f9e405,Mamão,1,Asproc,Samambaia,4
9a216350-eee7-4170-a90f-9595903e7cfb,Mamão,0,Cooper-mista,Planaltina,1
fe4703f0-bec1-4c15-a21f-76dfbfb1917b,Limão,1,Coopebraz,Recanto das Emas,4
ca96cae9-cff7-4748-b378-38f0e0e8df55,Uva,0,Astraf,Guará,3
ad758ffa-4476-4d7a-b03a-44cd1bc49a3b,Berinjela,1,Agrifam,Santa Maria,3
c18bfda7-e3df-4edb-b30d-b931808e6711,Agrião,0,Rede Terra,Santa Maria,5
d03010f5-2879-4b1c-8bd4-bf70c312db85,Uva,0,Aspaf,Guará,1
e065f56a-74be-4d34-88c9-1825d1d59665,Morango,0,Prorural,Paranoá,3
ede0c748-1d5b-4972-b257-5ab46a38d0f5,Graviola,1,Asphor,Plano Piloto,4
06523cba-82ac-474f-a02b-ecae08ffc24d,Tangerina,0,Aspronte,Ceilândia,4
31d768ba-2882-48cd-83e1-4330f5014e71,Gengibre,1,Coopebraz,Recanto das Emas,1
